Organization Name,Email,Emailed?,Instagram,DM?,Facebook,
180 Degrees Consulting at Berkeley,recruitment.berkeley@180dc.org,TRUE,https://www.instagram.com/180dcberkeley/,FALSE,https://www.facebook.com/180dcberkeley,
3D Modeling and Animation at Berkeley,3dma.at.berkeley@gmail.com,TRUE,https://www.instagram.com/3dma_at_berkeley,FALSE,https://www.facebook.com/3DMAB,
3DMC,3dmc.berkeley@gmail.com,TRUE,https://www.instagram.com/3DMC_UCBerkeley/,FALSE,https://www.facebook.com/3dmodelingatberkeley/,
5&2 Community Service,fiveandtwo.berkeley@gmail.com,TRUE,https://www.instagram.com/fiveandtwo.berkeley/,FALSE,https://www.facebook.com/fiveandtwo.berkeley,
A Better Way at Berkeley,officers@abetterway.berkeley.edu,TRUE,https://www.instagram.com/abwberkeley/,FALSE,https://www.facebook.com/groups/2231717900459451/,
A.N.T.I. : Artistic Nerds 4 Theatre Inclusivity,artisticnerds089@gmail.com,TRUE,N/A,FALSE,N/A,
AAAA - Furries at Berkeley, furries.at.berkeley@gmail.com,TRUE,http://instagram.com/berkeleyfurries/,FALSE,N/A,
ABA,alezha@berkeley.edu,TRUE,https://www.instagram.com/berkeleyaba/,FALSE,https://www.facebook.com/BerkeleyABA,
Abba Modern,abbamodern@gmail.com,TRUE,https://www.instagram.com/abbamodern//,FALSE,https://www.facebook.com/AbbaModern,
ABC Sketches,abcsketches@gmail.com,TRUE,N/A,FALSE,N/A,
Acacia,cal5@acacia.org,TRUE,N/A,FALSE,https://www.facebook.com/pages/California-Chapter-of-Acacia-Fraternity/232735483479985,
Academic Cultural Enrichment Coaches,acecoaches@berkeley.edu,TRUE,https://www.instagram.com/acecoaches/,FALSE,https://www.facebook.com/berkeleyacecoaches/,
Active Minds,activemindsatcal@gmail.com,TRUE,N/A,FALSE,https://www.facebook.com/groups/7651334524/,
acts2fellowship, info@acts2fellowship.org,TRUE,https://www.instagram.com/a2f.berkeley/?hl=en,FALSE,https://www.facebook.com/acts2fellowship/,
Aerial and Pole Club at Berkeley,calaerialandpole@gmail.com,TRUE,http://www.instagram.com/aerialatcal,FALSE,N/A,
Aerospace SAE,calasae@gmail.com,TRUE,https://www.instagram.com/cal.aero/?hl=en,FALSE,https://www.facebook.com/asaeberkeley/,
Afghan Student Association, calasapresident@gmail.com,TRUE,http://www.instagram.com/calasa_,FALSE,https://www.facebook.com/berkeleyASA,
AFX Dance,afxdance@gmail.com,TRUE,https://www.instagram.com/afxdance//,FALSE,http://www.facebook.com/AFXdance,
Aion,expansion@akdphi.org,TRUE,https://www.instagram.com/ucb_aion/,FALSE,N/A,
Air Bears - Skydiving Club at Berkeley, AirBearsSC@gmail.com,TRUE,https://www.instagram.com/calairbears/,FALSE,N/A,
"Alexander Hamilton Society, The", ahsberkeley@gmail.com,TRUE,https://www.instagram.com/ahsberkeley/,FALSE,N/A,
Alianza Latine for Public Health Action (Formerly Alianza Latinx for Public Health Action),alianza.grads@berkeley.edu,TRUE,N/A,FALSE,N/A,
Alpha Chi Omega,axopichapterpresident@gmail.com,TRUE,https://instagram.com/axo_berkeley/,FALSE,https://www.facebook.com/axoberkeley,
Alpha Chi Sigma Professional Chemistry Fraternity,axs.sigma.president@gmail.com,TRUE,N/A,FALSE,http://www.facebook.com/AXS.Sigma,
Alpha Delta Phi,info@aquadelt.org,TRUE,https://www.instagram.com/aquadelt//,FALSE,https://www.facebook.com/adphical/,
Alpha Delta Pi,caladpipresident@gmail.com,TRUE,N/A,FALSE,https://www.facebook.com/UC-Berkeley-Alpha-Delta-Pi-132391421981/?fref=ts,
"Alpha Epsilon Zeta Fraternity, Inc.",aakashr@berkeley.edu,TRUE,https://instagram.com/aezberkeley?igshid=10tq6n2yy8m4nn,FALSE,https://www.facebook.com/aezberkeley,
Alpha Gamma Omega,vp@berkeley.ago.org,TRUE,https://www.instagram.com/ago_cal/,FALSE,N/A,
"Alpha Kappa Alpha Sorority, Inc.",akarho1921@gmail.com,TRUE,https://www.instagram.com/rhochapter_1921/?igshid=YmMyMTA2M2Y%3D,FALSE,N/A,
Alpha Phi, calalphaphipresident@gmail.com,TRUE,@calalphaphi,FALSE,N/A,
"Alpha Phi Alpha Fraternity, Inc.",icecolddynasty@gmail.com,TRUE,N/A,FALSE,https://www.facebook.com/icecolddynasty,
Alpha Phi Omega,president@calaphio.com,TRUE,https://www.instagram.com/calaphio/,FALSE,https://www.instagram.com/calaphio/,
Alpha Rho Chi,calapx@gmail.com,TRUE,https://www.instagram.com/calapx/,FALSE,https://www.facebook.com/CalAPX,
Alpha Sigma Phi,N/A,TRUE,https://www.instagram.com/calalphasig/,FALSE,https://www.facebook.com/calalphasig/,
Alpha Tau Omega,ato.berkeley@gmail.com,TRUE,N/A,FALSE,https://www.facebook.com/BerkeleyATO,
Alternative Breaks,berkeleyaltbreaks@gmail.com,TRUE,https://www.instagram.com/berkeleyaltbreaks/,FALSE,https://www.facebook.com/berkeleyaltbreaks/,
Alternative Service Trips at Berkeley Law (Formerly known as Boalt on Break),blast@law.berkeley.edu,TRUE,https://www.instagram.com/blastberkeleylaw//,FALSE,,
American Advertising Federation,execs@calaaf.com,TRUE,https://www.instagram.com/imagicalaaf//,FALSE,https://www.facebook.com/berkeleyaaf,
American Chemical Society at Berkeley Student Chapter,acsberkeley@gmail.com,TRUE,https://instagram.com/acsberkeley?igshid=lnngs476d1i00,FALSE,https://www.facebook.com/acsberkeley/?ref=br_rs,
American Constitution Society at Berkeley,berkeleylawacs@gmail.com,TRUE,,FALSE,https://www.facebook.com/BerkeleyLawACS/,
American Indian Graduate Student Association, breylan@berkeley.edu,TRUE,https://www.instagram.com/cal.igsa/,FALSE,,
American Institute of Architecture Students,aiasberkeley@gmail.com,TRUE,https://www.instagram.com/aiasberkeley/,FALSE,https://www.facebook.com/aiasberkeley,
American Institute of Chemical Engineers,aiche.berkeley@gmail.com,TRUE,https://www.instagram.com/aiche_ucberkeley//,FALSE,https://www.facebook.com/berkeley.aiche/,
American Lung Cancer Screening Initiative at Berkeley,info@alcsi.org,TRUE,https://www.instagram.com/amlungcsi/?hl=en,FALSE,https://www.facebook.com/americanlungcancerscreeninginitiative/,
American Medical Students Association: Berkeley Premedical Chapter,berkeleyamsa@gmail.com,TRUE,https://www.instagram.com/berkeleyamsa//,FALSE,https://www.facebook.com/ucbamsa,
American Medical Women's Association at Berkeley,amwaberkeley@gmail.com,TRUE,https://www.instagram.com/amwaberkeleyy,FALSE,https://www.facebook.com/amwaberkeley,
American Nuclear Society,president@ans.berkeley.edu,TRUE,https://www.instagram.com/ansberkeley/,FALSE,http://www.facebook.com/pages/Berkeley-ANS/112471362098050,
American Optometric Student Association,UCBTrustee@theaosa.org,TRUE,https://www.instagram.com/ucb_aosa//,FALSE,https://www.facebook.com/American.Optometric.Student.Association?fref=ts,
American Physician Scientist Association at Berkeley,berkeleyapsa@gmail.com,TRUE,,FALSE,https://www.facebook.com/berkeleyapsa/,
American Red Cross at Cal,americanredcrossatcal@gmail.com,TRUE,https://www.instagram.com/arcatcal/,FALSE,,
American Sign Language at Berkeley,American Sign Language at Berkeley,TRUE,https://www.instagram.com/aslatberkeley/,FALSE,,
American Society of Civil Engineers,calasceofficers@gmail.com,TRUE,https://www.instagram.com/calasce/,FALSE,https://www.facebook.com/CalASCE?hc_location=timelinee,
American Society of Landscape Architects,berkeleystudentasla@gmail.com,TRUE,http://www.instagram.com/berkeleylaep,FALSE,https://www.facebook.com/groups/ucberkeleyasla/,
American Society of Mechanical Engineers,asme.cal@gmail.com,TRUE,https://www.instagram.com/asme.berkeley/,FALSE,https://www.facebook.com/ASMEatCal,
America’s ToothFairy at Berkeley,N/A,TRUE,https://www.instagram.com/berkstoothfairy/,FALSE,https://www.facebook.com/americastoothfairyatberkeley,
Angkor Hospital for Children's Club,ahcberkeley@gmail.com,TRUE,https://www.instagram.com/ahcberkeley/,FALSE,,
Animal Legal Defense Fund of Berkeley Law,tuppal@berkeley.edu,TRUE,,FALSE,,
ANova, executive@anova.berkeley.edu,TRUE,https://www.instagram.com/berkeleyanova/,FALSE,http://www.facebook.com/berkeleyanova,
Anthropology Undergraduate Association, auaucberkeley@gmail.com,TRUE,https://www.instagram.com/auaucberkeley/?hl=en,FALSE,https://www.facebook.com/groups/auaberkeley/,
Aquatic Ecosystems Club at Berkeley,,TRUE,https://www.instagram.com/aquatic_ecosystems_berkeley//,FALSE,https://www.facebook.com/groups/577969440089550,
Arab Student Union,alrefaei@berkeley.edu,TRUE,https://www.instagram.com/arabstudentunion_cal//,FALSE,https://www.facebook.com/asuberkeley/,
Arch Bioventures, ohjustinoh@berkeley.edu,TRUE,,FALSE,,
Argentine Tango Club of Berkeley,ucbtango@gmail.com,TRUE,https://www.instagram.com/berkeleytangoclub/,FALSE,https://www.facebook.com/ArgentineTangoClubBerkeley/,
Armenian Pre-Health Society,Slgaspar@berkeley.edu,TRUE,,FALSE,,
Armenian Student Association, CalBerkeleyASA@gmail.com,TRUE,https://instagram.com/cal_asaa,FALSE,https://www.facebook.com/UCBerkeleyASA/?ref=aymt_homepage_panel,
Army ROTC Cadet Club,lalira@berkeley.edu,TRUE,,FALSE,https://www.facebook.com/goldenbearsrotc/,
Arnold Air Society,jimmynguyenjn@berkeley.edu,TRUE,,FALSE,https://www.facebook.com/Arnold-Air-Society-Berkeley-Detachment-Fundraisers-672384216265808/,
Aro/Ace Space at Berkeley,aroaceberkeley@gmail.com,TRUE,,FALSE,,
Art and Mind,artandmind.berkeley@gmail.com,TRUE,https://instagram.com/artandmind.berkeley?igshid=624h2cwoyqrw,FALSE,http://www.facebook.com/ArtandMindClub/,
Artists in Resonance,artistsinresonanceucb@gmail.com,TRUE,https://www.instagram.com/artistsinresonance/,FALSE,https://www.facebook.com/ArtistsinResonance?fref=ts,
Arts and Innovation Representation,sarah.davidson@berkeley.edu,TRUE,,FALSE,,
ASCE Sustainable Solutions,sustainablesolutions.berkeley@gmail.com,TRUE,https://callink.berkeley.edu/organization/www.instagram.com/calsustainablesolutions,FALSE,https://www.facebook.com/CalASCE,
ASCEND,ascendberkeley.exec@gmail.com,TRUE,https://www.instagram.com/ascendberkeley//,FALSE,https://www.facebook.com/ascendberkeleychapter,
"Asha for Education, Berkeley",berkeley@ashanet.org,TRUE,https://www.instagram.com/asha_berkeley/?hl=enn,FALSE,https://www.facebook.com/pages/Asha-for-Education-Berkeley/392925190767605,
Asian & Pacific Islander Women’s Circle,ucbsph.apiwc@berkeley.edu,TRUE,,FALSE,https://www.facebook.com/groups/apiwcberkeley/,
Asian American and Pacific Islander Health Research Group,aapihrg.info@gmail.com,TRUE,http://www.instagram.com/aapihrg,FALSE,http://www.facebook.com/aapihrg,
Asian American Association,ucberkeleyaaa@gmail.com,TRUE,http://www.instagram.com/ucberkeleyaaa,FALSE,https://www.facebook.com/UCBAAA,
Asian American Christian Fellowship,katelync@berkeley.edu,TRUE,,FALSE,https://www.facebook.com/berkeleyaacf/,
Asian American Research Journal,chiefeditor@aarj.berkeley.edu,TRUE,https://www.instagram.com/cal.aarj/,FALSE,,
Asian Pacific American Pre-Law Association,ucb.apapla@gmail.com,TRUE,https://www.instagram.com/ucb.apapla/?hl=en,FALSE,https://www.facebook.com/ucb.apapla/,
Association for Muslim Professional Development,hunaynanwar@berkeley.edu,TRUE,https://www.instagram.com/calampd/?hl=en,FALSE,http://www.facebook.com/CalAMPD,
Association for Socially Responsible Business,asrbatberkeley@gmail.com,TRUE,https://www.instagram.com/ucbasrb/,FALSE,https://www.facebook.com/ASRBatBerkeley/,
Association of Chinese Entrepreneurs at Berkeley,aceberkeley@gmail.com,TRUE,,FALSE,https://www.facebook.com/aceberkeley,
Association of Korean Artists,akaberkeley@gmail.com,TRUE,https://www.instagram.com/aka_berkeley/,FALSE,https://www.facebook.com/AKA.BERKELEY/,
Association of Women in EE&CS,aweberkeley@gmail.com,TRUE,https://www.instagram.com/awe.berkeley/,FALSE,https://www.facebook.com/berkeleyawe//,
Astro People, pedrodm@berkeley.edu,TRUE,,FALSE,,
